ID,Type,SKU,Name,Published,Description,Short description,Regular price,Categories,Images
2001,simple,BR-FIRSTBATCH-KRAUT,First Batch Sauerkraut Kit,1,"Everything for your first jar: a 32oz wide-mouth fermentation jar, a glass weight, a one-pound bag of mineral sea salt, our paper-bound starter guide, and a pair of stainless tasting spoons. Designed to take you from cabbage on the counter to a jar you'll be proud of in roughly seven days, with no equipment you have to bury in a cabinet.","Cabbage in. Kraut out. One-jar starter kit with everything you need (cabbage not included).",48,"Shop > Starter Kits",
2002,simple,BR-FIRSTBATCH-HOTSAUCE,Hot Sauce Builder Kit,1,"A two-bottle build-your-own kit for fermenting your own table sauce: two 8oz swing-top bottles, a small batch of dried Aleppo and arbol peppers, mineral salt, a 250g garlic-fennel base ferment, and a single-page recipe card. Ferment on the counter for ten days, blend, and you'll have a sauce with a real backbone.","Build a hot sauce with backbone. Ten days on the counter, two bottles when you're done.",54,"Shop > Starter Kits",
2003,simple,BR-FIRSTBATCH-VINEGAR,Vinegar Mother Starter,1,"For the slow project. Includes a live apple-cider vinegar mother in shipping-stable brine, a one-liter wide-mouth jar with breathable cotton lid, a quarter-pound of raw sugar, and an instruction card for keeping the mother fed indefinitely. The vinegar takes weeks; the satisfaction lasts longer.","Live mother, breathable jar, raw sugar. Begin the slow vinegar project.",62,"Shop > Starter Kits",
2004,simple,BR-PANTRY-SMOKED-GARLIC,Smoked Garlic Hot Sauce,1,"A small-batch table sauce built around oak-smoked garlic, fermented chiles, and a quiet finish of fennel pollen. Three years in the making, eaten in about four weeks. We make this in 200-bottle drops; once it's gone, it's gone until next season.","Oak-smoked garlic, fermented chiles, fennel pollen. Table sauce that earns its real estate.",18,"Shop > Pantry Ferments",
2005,simple,BR-PANTRY-CELLAR-KRAUT,"Cellar Kraut, 16oz",1,"Our standing kraut: napa cabbage, mineral sea salt, caraway, and time. Aged forty days in stoneware crocks before being packed into glass. Tart, briny, alive — eat it cold from the jar over rye toast, or fold it into a grilled cheese the way we do.","Napa, salt, caraway, forty days. The standing kraut we never run out of.",14,"Shop > Pantry Ferments",
2006,simple,BR-PANTRY-FENNEL-VINEGAR,Fennel Honey Vinegar,1,"A 12oz finishing vinegar made from local apples, raw fennel-flower honey, and our own slow mother. Bright, herbaceous, and not too sweet. Splash it on roasted carrots, deglaze with it, drink a teaspoon when you're tired. We won't tell.","Apple cider, fennel honey, slow mother. A finishing vinegar that earns its corner of the shelf.",24,"Shop > Pantry Ferments",
2007,simple,BR-PANTRY-MISO-CARAMEL,Miso Caramel Pantry Ferment,1,"An 8oz jar of our quietest weird thing: white miso aged with pulled caramel, a curl of orange peel, and a pinch of black salt. Spoon over vanilla ice cream, swirl into a coffee, brush onto pork. Half pantry staple, half dare.","White miso, pulled caramel, black salt. Half pantry staple, half dare.",22,"Shop > Pantry Ferments",
2008,simple,BR-PANTRY-DINNER-TRIO,Dinner Board Tasting Trio,1,"Three 4oz jars in a linen-wrapped tray: dinner kraut, smoked garlic hot sauce, and our standing finishing vinegar. Built to live on a board with hard cheese, salami, and bread that takes itself seriously. Comes with three small wooden spoons.","Three small jars, one linen tray. The dinner board, sorted.",42,"Shop > Pantry Ferments",
2009,simple,BR-VESSEL-CROCK-2L,"Stoneware Crock, 2L",1,"A 2-liter wheel-thrown stoneware crock from a small kiln in eastern Pennsylvania. Heavy, hand-glazed in the matte clay we like best, with a fitted lid and two interior weights. Rated for years of fermenting; outlasts the cabinet you put it in. Each is faintly different.","Wheel-thrown 2L crock. Matte clay, fitted lid, two weights. Heavier than it looks.",86,"Shop > Vessels & Salts",
2010,simple,BR-VESSEL-WEIGHTS,Glass Weight Set (4),1,"Four heavy lead-free glass weights sized for wide-mouth quart jars. Smooth, dishwasher-safe, and shaped with a small lifting nub so you can fish them out without a fight. The unsung hero of any jar ferment that actually works.","Four glass weights for wide-mouth jars. The unsung hero of the whole thing.",28,"Shop > Vessels & Salts",
2011,simple,BR-VESSEL-MINERAL-SALT,"Mineral Sea Salt, 1lb",1,"One pound of unrefined Atlantic sea salt with no additives, no anti-caking agents, and no nonsense. Fine enough to dissolve quickly in a brine; mineral enough to taste like the actual ocean. The salt that touches every ferment we ship.","Unrefined, mineral-rich, additive-free. The salt every ferment in here started with.",16,"Shop > Vessels & Salts",
