ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
2001,simple,IV-SODIUM-HALFZIP,0851000200017,Sodium Half-Zip,1,1,visible,"Brushed-knit half-zip with reflective collar trim and thumbholes. Made for sodium-light dawns and cold-rain commutes.","A weather-aware mid-layer for runners who start before the city is awake. Brushed merino-blend knit traps warmth without bulk; reflective taping along the collar and elbows keeps you visible to early traffic. Thumbholes on the sleeve cuffs lock the sleeve in place for the first cold mile. Pairs with the Pace Pack for long-run mornings.",,,taxable,,1,42,5,no,0,0.34,32,28,3,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,128.0,Apparel,"dawn, cold-rain, mid-layer, reflective, featured",standard,,,,,,"IV-PACE-PACK, IV-BEACON-CAP",IV-RESET-ROLLER,,,0,Size,XS | S | M | L | XL,1,0,M,Color,Asphalt | Sodium,1,0,Asphalt,Condition,Dawn / Cold Rain,1,0,,,,,,Sodium Half-Zip — Interval,"Brushed-knit half-zip with reflective collar trim and thumbholes. Made for sodium-light dawns and cold-rain commutes.",sodium half-zip,4.7,38,2026-05-04-a,no,no
2002,simple,IV-CADENCE-SINGLET,0851000200024,Cadence Singlet,1,1,visible,"Compressed-knit racing singlet built for repeats and humid summer miles.","A racing-cut singlet with engineered ventilation across the back panel and a flat-bonded shoulder seam to prevent rub on long efforts. Laundry-tough, pace-tested through a full track block on Track 04. Sized for a tight, fast feel — size up if you prefer relaxed.",,,taxable,,1,84,10,no,0,0.11,30,26,2,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,48.0,Apparel,"track-night, summer, racing, featured",standard,,,,,,"IV-SPLITS-LONG-TIGHT, IV-MILE-MARKER-BELT",IV-CADENCE-SINGLET,,,1,Size,XS | S | M | L | XL,1,0,M,Color,Bone | Signal | Asphalt,1,0,Bone,Condition,Track Night / Summer,1,0,,,,,,Cadence Singlet — Interval,"Compressed-knit racing singlet built for repeats and humid summer miles. Tested on Track 04.",cadence singlet,4.6,52,2026-05-04-a,no,no
2003,simple,IV-SPLITS-LONG-TIGHT,0851000200031,Splits Long Tight,1,0,visible,"Compression long tight for cold-rain mornings and recovery walk-backs.","A graduated-compression tight cut to splits length on the side seam, letting you stride out on hill repeats while staying covered on the cold downhill jog back. Hidden waistband pocket holds a phone, a key, and one gel. Reflective Interval mark at the hem.",,,taxable,,1,56,8,no,0,0.27,42,30,3,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,72.0,Apparel,"cold-rain, recovery, compression",standard,,,,,,"IV-SODIUM-HALFZIP, IV-CADENCE-SINGLET",IV-RESET-ROLLER,,,2,Size,XS | S | M | L | XL,1,0,M,Color,Asphalt | Ink,1,0,Asphalt,Condition,Cold Rain / Long Run,1,0,,,,,,Splits Long Tight — Interval,"Compression long tight for cold-rain mornings and recovery walk-backs. Made for repeats and the jog back.",splits long tight,4.5,29,2026-05-04-a,no,no
2004,simple,IV-BEACON-CAP,0851000200048,Beacon Reflective Cap,1,1,visible,"Reflective brim cap for sodium-light visibility on early commutes.","A five-panel running cap with a low-glare brim and 360° reflective taping that lights up under headlights from a block away. Internal sweatband wicks fast; bonded back closure won't snag a ponytail. Race-day favorite of the Wednesday club.",,,taxable,,1,120,15,no,0,0.07,28,22,12,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,34.0,Apparel,"dawn, reflective, accessories, featured",standard,,,,,,"IV-SODIUM-HALFZIP, IV-STREETLIGHT-SLEEVES",IV-LONG-RUN-FUEL,,,3,Size,One Size,1,0,One Size,Color,Bone | Signal | Asphalt,1,0,Asphalt,Condition,Dawn / Race Day,1,0,,,,,,Beacon Reflective Cap — Interval,"Reflective brim cap for sodium-light visibility on early commutes and race-day starts.",beacon reflective cap,4.8,67,2026-05-04-a,no,no
2005,simple,IV-PACE-PACK,0851000200055,Pace Pack 6L,1,1,visible,"Minimal running vest. Two soft flasks, four gel sleeves, one bib loop. Built for 18-mile mornings.","A 6L hydration vest sized for runners who carry only what they need. Sternum-strap adjusters lock the load against your back, eliminating the on-stride bounce that ruins long runs. Two 500ml soft-flask pockets sit high on the chest for fast access; a rear bib loop keeps your race number flat. Drop-tested across the Long Bridge route at 7:42 pace.",,,taxable,,1,28,5,no,0,0.32,38,26,8,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,148.0,Carry & Hydration,"long-run, hydration, vest, featured",standard,,,,,,"IV-NEGRONI-FLASK, IV-CARRY-SLEEVE, IV-LONG-RUN-FUEL",IV-RACE-WEEK-KIT,,,4,Size,XS-S | M-L | XL-2XL,1,0,M-L,Color,Asphalt | Signal,1,0,Asphalt,Condition,Long Run,1,0,,,,,,Pace Pack 6L — Interval,"Minimal running vest with soft flasks, gel sleeves, and a bib loop. Built for 18-mile mornings.",pace pack 6L,4.9,73,2026-05-04-a,no,no
2006,simple,IV-MILE-MARKER-BELT,0851000200062,Mile Marker Belt,1,0,visible,"Hipbelt sized for two flasks and one gel sleeve. No bounce.","A hipbelt for runners who hate vest weight. Holds two 250ml soft flasks and a gel sleeve; bounce-tested through 8 × 800m at 5K pace and stays put. Adjustable from 26"" to 42"" with a low-profile glide buckle that won't catch your shirt.",,,taxable,,1,64,8,no,0,0.18,12,10,4,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,58.0,Carry & Hydration,"track-night, hydration, belt",standard,,,,,,"IV-NEGRONI-FLASK, IV-CADENCE-SINGLET",IV-PACE-PACK,,,5,Size,One Size,1,0,One Size,Color,Asphalt | Signal,1,0,Asphalt,Condition,Track Night / Tempo,1,0,,,,,,Mile Marker Belt — Interval,"Hipbelt sized for two flasks and one gel sleeve. Bounce-tested through 800m repeats.",mile marker belt,4.5,41,2026-05-04-a,no,no
2007,simple,IV-NEGRONI-FLASK,0851000200079,Negroni Soft Flask 500ml,1,0,visible,"Compressible 500ml soft flask. Fits any vest, belt, or hand carry.","A BPA-free TPU soft flask with a wide-mouth bite valve for fast sips on the move. Compresses as it empties — no slosh, no jostle. The 'Negroni' tint cuts harsh visual noise on bright summer mornings. Pairs with the Pace Pack and Mile Marker Belt; goes through the dishwasher when you forget to rinse it.",,,taxable,,1,180,20,no,0,0.04,18,8,3,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,24.0,Carry & Hydration,"hydration, refill",standard,,,,,,"IV-PACE-PACK, IV-MILE-MARKER-BELT",IV-LONG-RUN-FUEL,,,6,Size,500ml,1,0,500ml,Color,Negroni | Bone | Signal,1,0,Negroni,Condition,Long Run / Track,1,0,,,,,,Negroni Soft Flask 500ml — Interval,"Compressible 500ml soft flask with a wide-mouth bite valve. Fits any vest or belt.",negroni soft flask,4.7,118,2026-05-04-a,no,no
2008,simple,IV-STREETLIGHT-SLEEVES,0851000200086,Streetlight Reflective Sleeves,1,0,visible,"Hand-carry hydration with reflective panel. Visibility for the empty city.","A pair of mid-arm sleeves built for the season between long-sleeves and singlets. 360° reflective taping picks up every street-light and headlight; bonded thumb loop keeps them from sliding. Wear over a singlet for dawn track sessions or under a half-zip for cold rain. Sold as a pair.",,,taxable,,1,92,10,no,0,0.06,32,12,2,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,28.0,Carry & Hydration,"dawn, reflective, accessories",standard,,,,,,"IV-BEACON-CAP, IV-CADENCE-SINGLET",IV-SODIUM-HALFZIP,,,7,Size,S/M | L/XL,1,0,S/M,Color,Asphalt | Signal,1,0,Asphalt,Condition,Dawn / Track Night,1,0,,,,,,Streetlight Reflective Sleeves — Interval,"Reflective sleeves for the empty city. 360° taping for sodium-light visibility.",streetlight reflective sleeves,4.4,33,2026-05-04-a,no,no
2009,simple,IV-BIB-BELT,0851000200093,Bib Belt,1,0,visible,"Race-day bib carrier with elastic gel loops. Goodbye safety pins.","A four-loop elastic race belt that holds your bib flat across your hips with no pinning, no flapping, no holes in your singlet. Three additional gel loops sit on the side seam for half-marathon and longer fueling. Low-profile under a singlet for racing or over a half-zip for cold starts.",,,taxable,,1,140,15,no,0,0.05,38,4,2,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,32.0,Race Day,"race-week, fueling, belt",standard,,,,,,"IV-RACE-WEEK-KIT, IV-LONG-RUN-FUEL",IV-CADENCE-SINGLET,,,8,Size,One Size,1,0,One Size,Color,Asphalt | Signal,1,0,Signal,Condition,Race Day,1,0,,,,,,Bib Belt — Interval,"Race-day bib carrier with elastic gel loops. No safety pins, no flapping.",bib belt,4.6,84,2026-05-04-a,no,no
2010,simple,IV-LONG-RUN-FUEL,0851000200109,Long Run Fuel Pack — 6 ct,1,1,visible,"Six endurance carb gels (mild caffeine). Matches the Pace Pack gel sleeves.","Six endurance carb gels formulated with the run-club's nutritionist for runs from 90 minutes to half-marathon distance. Mild 25mg caffeine per gel — enough to lift the back half of a long run, not enough to disrupt sleep after a Wednesday morning session. Six-pack ships flat and slots into the Pace Pack and Bib Belt loops.",,,taxable,,1,300,40,no,0,0.21,18,12,4,1,"Thanks for running with Interval. Drop a route note in the run-club channel.",,36.0,Race Day,"long-run, fueling, refill, featured",standard,,,,,,"IV-PACE-PACK, IV-MILE-MARKER-BELT",IV-RACE-WEEK-KIT,,,9,Flavor,Citrus | Cola | Berry | Variety Pack,1,0,Variety Pack,Caffeine,25mg / gel,1,0,25mg / gel,Condition,Long Run / Race Day,1,0,,,,,,Long Run Fuel Pack — Interval,"Six endurance carb gels with mild caffeine. Matches Pace Pack and Bib Belt loops.",long run fuel pack,4.8,156,2026-05-04-a,no,no
