ID,Type,SKU,Name,Published,Description,Short description,Regular price,Categories,Images
2001,simple,BR-FIRST-CROCK,First Batch Crock,1,"A 1-litre stoneware crock, two ceramic weights, a packet of mineral sea salt, a starter culture, and the four-page pamphlet we wish we'd had on day one. Designed for kraut, quick pickles, or salted vegetables — pick whichever is in your fridge drawer right now. The jar is glazed inside, raw outside, fired in a small studio in Vermont, and built to live on a counter for years rather than seasons.","The complete first-batch setup: 1L crock, ceramic weights, sea salt, culture, and a pamphlet that does not assume you've done this before.",84.00,Starter Kits,
2002,simple,BR-SANDWICH-UPGRADE,Sandwich Upgrade Kit,1,"Three glass jars, one mesh pouch of pickling spice, a bag of unrefined sea salt, and a recipe card for a four-day pickle that turns the saddest Tuesday sandwich into something worth photographing. Quick and forgiving — failure mode is, at worst, a slightly funky pickle. We tested it on every loaf in the office.","Three jars, one spice blend, sea salt, and a recipe card for the quick pickle that fixes ninety percent of weekday lunches.",46.00,Starter Kits,
2003,simple,BR-HOT-SAUCE-WORKSHOP,Hot Sauce Workshop,1,"A 750ml fermenting jar with airlock lid, two empty bottling vessels, an heirloom chili blend (bird's-eye, ancho, and a little smoked guajillo), and a card that walks you from raw chilies to a thirty-day aged sauce. Output: roughly 500ml of hot sauce per round. Works as a standalone gift; pairs well with the Cellar Plan.","Make a thirty-day aged hot sauce from heirloom chilies. Includes airlock jar, bottling vessels, chili blend, and method card.",68.00,Starter Kits,
2004,simple,BR-MISO-BEGINNER,Miso Beginner,1,"A long-ferment kit for the patient. One 1.5L crock, soybeans, koji rice, salt, and a printed timeline that tells you what the paste should smell like at week four, week eight, and week twenty-four. Yields about 1kg of finished miso. We do not recommend this as a first-ever ferment, but it is the most rewarding one in the lineup.","The slow one. A six-month miso kit with crock, beans, koji, salt, and a timeline that explains what's happening at week four, eight, and twenty-four.",124.00,Starter Kits,
2005,simple,BR-LACTO-CARROTS,Lacto-Carrot Pickles,1,"Heritage carrots, brined for ten days with mustard seed, dill, and a little garlic. Crisp, tart, slightly sweet — the snack we eat straight out of the jar, but also the thing that elevates a grain bowl in twelve seconds. Each 500ml jar holds enough for a week of lunches plus the inevitable Wednesday dinner-party plate.","Heritage carrots, lacto-fermented for ten days with mustard seed, dill, and garlic. Crisp, tart, faintly sweet.",16.00,Pantry Ferments,
2006,simple,BR-GREEN-TOMATO-HOT,Green Tomato Hot Sauce,1,"A medium-heat green hot sauce built on under-ripe tomatoes from a single farm in upstate New York, fermented with serranos and a hint of lime zest, then aged three weeks in oak. Pours thick, lands bright. We recommend it on eggs, on tacos, and on the last cold slice of leftover pizza at midnight.","Under-ripe tomatoes, serranos, and lime zest, fermented and oak-aged three weeks. Medium heat, bright finish, photo-worthy on eggs.",18.00,Pantry Ferments,
2007,simple,BR-SPRING-KRAUT,Spring Kraut with Caraway,1,"Cabbage from a small co-op north of the Hudson, salted at three percent, layered with caraway and juniper, and fermented twenty-eight days. Sour but not aggressive, with the round herbal note that makes a Reuben taste like a Reuben should. Refrigerate after opening; it keeps improving for another month.","Cabbage, sea salt, caraway, juniper. Twenty-eight-day ferment with the round herbal note that fixes a Reuben.",14.00,Pantry Ferments,
2008,simple,BR-MISO-AGED,Aged Miso Paste (8oz),1,"Our house miso, fermented seventeen months in cedar. Deep, savoury, slightly sweet, with the specific umami that turns a five-minute soup into something you actually want to make. Use a teaspoon at a time; the jar will outlast most of your other condiments. Refrigerate once opened.","Seventeen-month cedar-aged miso. Deep, savoury, faintly sweet — a teaspoon will rescue most weeknight dinners.",28.00,Pantry Ferments,
2009,simple,BR-HONEY-FENNEL,Honey-Fennel Vinegar,1,"A live cider vinegar finished with raw wildflower honey and a brief steep of toasted fennel. Sweet-sour-anise, soft enough to drink as a shrub but punchy enough to dress a grain salad. Bottled by hand in 250ml flasks; small batches twice a year.","Live cider vinegar, raw honey, toasted fennel. Sweet, sour, faintly anise — drink it as a shrub or pour it on a winter salad.",22.00,Pantry Ferments,
2010,simple,BR-DINNER-BOARD-TRIO,Dinner Board Trio,1,"The bundle we send to friends who are hosting their first dinner of the season. One jar of lacto carrots, one bottle of green tomato hot sauce, and one 8oz puck of aged miso, packed in a waxed cardboard box with a hand-folded note and a small wooden spoon. Designed to anchor a cheese-and-bread board without overwhelming it.","Three of our pantry workhorses — carrots, hot sauce, aged miso — packed in a waxed box with a wooden spoon and a hand-folded note.",58.00,Flavor Bundles,
2011,simple,BR-CELLAR-SAMPLER,The Cellar Sampler,1,"A six-jar tasting flight from across the pantry: kraut, carrots, hot sauce, vinegar, miso, and a guest jar from the cellar — usually whatever we are most excited about that month. Comes with a printed tasting card and a one-paragraph note from the maker on each jar. Built for slow Saturday mornings or as a gift to the host who already has the cookbook.",Six jars. One tasting card. Notes from the maker on each. Built for the host who already owns the cookbook.,96.00,Flavor Bundles,
2012,simple,BR-FIRST-YEAR-PANTRY,The First-Year Pantry,1,"The one we send to anyone who tells us they want to fully commit. Two crocks, four cultures, three salts, two weights, the pamphlet, the timeline card, and a 4oz starter of our house miso so you can taste the finish line on day one. Enough equipment and stock to ferment continuously for a year, and a fair chance you'll never buy a generic supermarket condiment again.","Two crocks, four cultures, three salts, two weights, and a starter of our house miso. Enough to ferment continuously for a year.",238.00,Flavor Bundles,
