name,slug,sku,regular_price,categories,tags,short_description,description,featured,image_url
Signal Pace Shell,signal-pace-shell,INT-001,148,"Apparel|Cold Rain","cold-rain|outer-layer","Lightweight shell built for cold rain starts and subway-platform wind.","A taped-seam shell with reflective trim, vented back paneling, and a pack-flat hood for city runners who need weather protection without bulky trail styling.",1,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=1200&q=80
Gridline Split Short,gridline-split-short,INT-002,72,"Apparel|Humid Dawn","humid-dawn|tempo","Fast split short with a steady waistband and low-bounce storage.","Designed for hot pre-work miles with quick-dry fabric, bonded hems, and a rear nutrition sleeve that keeps the short feeling clean on repeats.",1,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=1200&q=80
Reflective Relay Vest,reflective-relay-vest,INT-003,88,"Apparel|Track Night","track-night|visibility","High-contrast vest for dark club runs and shoulder-season intervals.","Mesh-backed reflective vest with adjustable side tabs and a close profile that layers cleanly over a singlet or half zip without flapping.",1,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=1200&q=80
Transit Warmup Half Zip,transit-warmup-half-zip,INT-004,96,"Apparel|Cold Rain","cold-rain|warmup","Compact warm layer that works from first stride to coffee stop.","A brushed half zip with thumb loops, watch window, and a neat collar built for chilly starts and quick transitions before or after the run.",0,https://images.unsplash.com/photo-1526401485004-46910ecc8e51?auto=format&fit=crop&w=1200&q=80
Lane Marker Cap,lane-marker-cap,INT-005,38,"Apparel|Race Day","race-week|sun","Low-profile cap with quick-dry crown and reflective underbrim.","Built for race-week shakeouts and bright start corrals, with a soft packable brim and sweatband that dries fast between sessions.",0,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=1200&q=80
Borough Bottle Belt,borough-bottle-belt,INT-006,84,"Carry and Hydration|Long Run Fueling","fueling|carry","Balanced carry belt for bottles, keys, gels, and transit cards.","A no-bounce run belt with dual bottle holsters, stretch stash pockets, and a quick-access card sleeve for city long runs that start and end on the move.",1,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=1200&q=80
Draft Pocket Handheld,draft-pocket-handheld,INT-007,44,"Carry and Hydration|Humid Dawn","humid-dawn|hydration","Soft flask handheld with route-card pocket and lock-in strap.","For sticky morning miles when one bottle is enough, with a hand strap that stays relaxed and a pocket sized for a gel, key, or folded route cue.",0,https://images.unsplash.com/photo-1552674605-db6ffd4facb5?auto=format&fit=crop&w=1200&q=80
Route Card Phone Sleeve,route-card-phone-sleeve,INT-008,52,"Carry and Hydration|Track Night","track-night|carry","Arm and hand carry hybrid for phones on interval nights.","Slim sleeve with reflective piping and a reversible strap system so runners can wear it on the arm, in the hand, or clipped into a vest pocket.",0,https://images.unsplash.com/photo-1486218119243-13883505764c?auto=format&fit=crop&w=1200&q=80
Start Line Drop Bag Pouch,start-line-drop-bag-pouch,INT-009,34,"Race Day|Race Week","race-week|organization","Zip pouch for bibs, safety pins, gels, and post-race layers.","Keeps race-week essentials together with clear internal sections for bib gear, gels, tape, and the stuff you never want to search for at 5:30 a.m.",1,https://images.unsplash.com/photo-1517838277536-f5f99be501cd?auto=format&fit=crop&w=1200&q=80
Negative Split Gel Pack,negative-split-gel-pack,INT-010,29,"Race Day|Long Run Fueling","fueling|race-week","Six-gel training and race-week refill pack.","A mixed-texture gel bundle for tempo work, long runs, and start-line backups, merchandised as a grab-and-go restock rather than a nutrition wall.",0,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?auto=format&fit=crop&w=1200&q=80
Split Clock Pacing Bands,split-clock-pacing-bands,INT-011,16,"Race Day|Race Week","race-week|pacing","Water-resistant pace bands for 5K through marathon plans.","Simple wrist bands with clean split tables and writable fields for heat, fueling cues, and club-specific adjustments.",0,https://images.unsplash.com/photo-1452626038306-9aae5e071dd3?auto=format&fit=crop&w=1200&q=80
Studio Block Recovery Roller,studio-block-recovery-roller,INT-012,58,"Recovery|Post Run Recovery","recovery|mobility","Dense recovery roller sized for apartment living.","Compact enough for city apartments but firm enough for calves, quads, and post-workout reset, with a shape that stores neatly on a shelf or in a tote.",1,https://images.unsplash.com/photo-1518611012118-696072aa579a?auto=format&fit=crop&w=1200&q=80
Curbside Compression Sock Set,curbside-compression-sock-set,INT-013,42,"Recovery|Post Run Recovery","recovery|giftable","Two-pair compression set for heavy weeks and travel days.","Graduated compression socks in neutral city colors, meant for long days on feet, race travel, and between-session recovery without spa-shop vibes.",0,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&w=1200&q=80
Night Loop Visibility Kit,night-loop-visibility-kit,INT-014,64,"Race Day|Track Night","track-night|visibility","Clip-on visibility system for club nights and dark commutes.","A compact kit with clip light, reflective strap, and bag tag so runners can upgrade visibility without rebuilding their whole setup.",1,https://images.unsplash.com/photo-1502904550040-7534597429ae?auto=format&fit=crop&w=1200&q=80
Rain Check Anti-Chafe Stick,rain-check-anti-chafe-stick,INT-015,18,"Recovery|Cold Rain","cold-rain|care","Weatherproof anti-chafe stick for soaked long runs and race days.","A waxy, no-mess stick built for wet conditions, long-run friction points, and start-line routines when staying comfortable is part of the system.",0,https://images.unsplash.com/photo-1518310383802-640c2de311b2?auto=format&fit=crop&w=1200&q=80
Clubhouse Gift Kit,clubhouse-gift-kit,INT-016,118,"Race Day|Gifting","giftable|race-week","Gift-ready race-week set for the runner who already has opinions.","Bundles a pouch, pace bands, cap, and refill essentials into a polished giftable system that still feels technical enough for serious runners.",1,https://images.unsplash.com/photo-1518459031867-a89b944bffe4?auto=format&fit=crop&w=1200&q=80
