ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1001,simple,WO-BOTTLED-MORNING,0850001000017,Bottled Monday Morning,1,1,visible,"A 4oz flask of pure, uncut Monday — slightly bitter, regrettably caffeinated.","Harvested at 6:47 AM local time from the world's most reluctant commuters, Bottled Monday Morning captures the specific gloom of a week just beginning. Shake well. Do not consume on Fridays.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,4,5,no,0,0.25,8,8,15,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",14.0,18.0,"Shop > Moods & Feelings, Shop > Curiosities","fictional, liquid, bestseller, caffeinated",standard,"woo-assets://product-wo-bottled-morning.jpg, woo-assets://product-wo-silence-jar.jpg, woo-assets://product-wo-discount-gravity.jpg",,,,,"WO-DREAD-REPELLENT, WO-SILENCE-JAR",WO-FORBIDDEN-HONEY,,,0,Brand,Wonders & Co.,1,1,,Origin,Near Cleveland,1,0,,Warning,Contains actual regret,1,0,,,,,,Bottled Monday Morning | Wonders & Oddities General Store,"Bottled Monday Morning: A 4oz flask of pure, uncut Monday — slightly bitter, regrettably caffeinated.",bottled morning,4.6,47,2026-04-16-a,no,no
1002,simple,WO-SILENCE-JAR,0850001000024,Artisanal Silence (8oz Jar),1,1,visible,Hand-gathered quietude from a monastery that may or may not exist.,"Each jar contains approximately 8 ounces of genuine silence, carefully sealed at source. Open indoors for best results. Do not open near babies, leaf blowers, or Italian families at dinner.",,,taxable,,1,23,5,no,0,0.4,10,10,12,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,32.0,"Shop > Curiosities, Shop > Moods & Feelings","handcrafted, limited-edition, quiet, theme-test",standard,"woo-assets://product-wo-silence-jar.jpg, woo-assets://product-wo-discount-gravity.jpg, woo-assets://product-wo-moon-dust.jpg",,,,,WO-BOTTLED-MORNING,WO-HAUNTED-CANDLE,,,1,Brand,Wonders & Co.,1,1,,Material,Borosilicate glass + nothing,1,0,,Volume,8 fl oz,1,0,,,,,,Artisanal Silence (8oz Jar) | Wonders & Oddities General Store,Artisanal Silence (8oz Jar): Hand-gathered quietude from a monastery that may or may not exist.,artisanal jar),4.9,112,2026-04-16-a,no,no
1003,simple,WO-DISCOUNT-GRAVITY,0850001000031,Discount Gravity (Slightly Used),1,0,visible,"Gravity, but cheaper. No returns on items that have already fallen.","This is not new gravity. It is refurbished gravity, sourced from a warehouse in Nebraska that went out of business. Works approximately 94% as well as brand-name gravity. Pulls objects downward in most cases.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,0,5,notify,0,9999.0,5,5,5,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",7.99,9.99,"Shop > Impossibilities, Shop > Curiosities","refurbished, physics, questionable, theme-test",standard,woo-assets://product-wo-discount-gravity.jpg,,,,,"WO-MOON-DUST, WO-POCKET-THUNDER",WO-INVISIBLE-UMBRELLA,,,2,Brand,OffBrand Newton,1,1,,Condition,Mostly functional,1,0,,Downward Force,~94% nominal,1,0,,,,,,Discount Gravity (Slightly Used) | Wonders & Oddities General Store,"Discount Gravity (Slightly Used): Gravity, but cheaper. No returns on items that have already fallen.",discount used),3.8,201,2026-04-16-a,no,no
1004,simple,WO-MOON-DUST,0850001000048,Moon Dust (Certified Lunar),1,0,visible,One teaspoon of authentic moon. Notary public on request.,Gathered by a man named Carl who insists he has been to the moon. Carl is very persuasive. Each tin comes with a Certificate of Lunar Origin signed by Carl.,,,taxable,,1,11,3,no,0,0.02,6,6,3,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,88.0,Shop > Curiosities,"certified, dusty, questionable, limited-edition",standard,woo-assets://product-wo-moon-dust.jpg,,,,,WO-COSMIC-MYSTERY-BOX,WO-WHISPERING-STONE,,,3,Brand,Carl's Lunar Goods,1,1,,Certification,Notarized by Carl,1,0,,Net Weight,5g,1,0,,,,,,Moon Dust (Certified Lunar) | Wonders & Oddities General Store,Moon Dust (Certified Lunar): One teaspoon of authentic moon. Notary public on request.,moon lunar),4.2,18,2026-04-16-a,no,no
1005,simple,WO-DREAD-REPELLENT,0850001000055,Existential Dread Repellent,1,1,visible,"A mild floral spray, 93% effective at deferring the Big Questions until Thursday.","Roll-on or spray. Apply liberally to wrists, temples, and the nagging sense that none of this matters. Active ingredient: mostly lavender. Inactive ingredient: aggressive optimism.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,64,10,no,0,0.15,4,4,14,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",19.0,24.0,Shop > Moods & Feelings,"topical, floral, bestseller, fictional",standard,"woo-assets://product-wo-dread-repellent.jpg, woo-assets://product-wo-tangible-wifi.jpg, woo-assets://product-wo-forbidden-honey.jpg",,,,,"WO-BOTTLED-MORNING, WO-BORROWED-NOSTALGIA","WO-SILENCE-JAR, WO-HANDCRAFTED-ECHO",,,4,Brand,Wonders & Co.,1,1,,Scent,Lavender + Denial,1,0,,Volume,50ml,1,0,,,,,,Existential Dread Repellent | Wonders & Oddities General Store,"Existential Dread Repellent: A mild floral spray, 93% effective at deferring the Big Questions until Thursday.",existential repellent,4.5,89,2026-04-16-a,no,no
1006,simple,WO-TANGIBLE-WIFI,0850001000062,Tangible Wi-Fi (You Can Hold It),1,0,visible,"Finally, a Wi-Fi signal you can physically grab, throw, or hide from your children.","Measuring roughly the size of a tennis ball and humming faintly at 2.4GHz, Tangible Wi-Fi is the first commercially available wireless signal with mass and texture. Router sold separately and also unnecessary.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,7,10,no,0,0.35,7,7,7,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",129.0,149.0,"Shop > Impossibilities, Shop > Curiosities","electronics, wireless, handheld, fictional",standard,woo-assets://product-wo-tangible-wifi.jpg,,,,,WO-POCKET-THUNDER,WO-WHISPERING-STONE,,,5,Brand,PalpNet,1,1,,Frequency,2.4 / 5 GHz,1,0,,Warranty,7 days (non-negotiable),1,0,,,,,,Tangible Wi-Fi (You Can Hold It) | Wonders & Oddities General Store,"Tangible Wi-Fi (You Can Hold It): Finally, a Wi-Fi signal you can physically grab, throw, or hide from your children.",tangible it),4.1,33,2026-04-16-a,no,no
1007,simple,WO-FORBIDDEN-HONEY,0850001000079,Forbidden Honey (Do Not Ask),1,0,visible,Looks like honey. Tastes like honey. Is absolutely not honey.,"Sourced from hives that exist in a legal gray area between two counties. Pairs well with toast, or a firm legal defense. Consuming Forbidden Honey does not constitute ownership of Forbidden Honey.",,,taxable,,1,30,5,no,0,0.6,9,9,13,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,42.0,"Shop > Forbidden Snacks, Shop > Curiosities","edible, suspicious, limited-edition, sticky",standard,woo-assets://product-wo-forbidden-honey.jpg,,,,,WO-CHAOS-SEASONING,WO-BOTTLED-MORNING,,,6,Brand,Unmentionable Apiaries,1,1,,Volume,340g,1,0,,Allergens,Mystery,1,0,,,,,,Forbidden Honey (Do Not Ask) | Wonders & Oddities General Store,Forbidden Honey (Do Not Ask): Looks like honey. Tastes like honey. Is absolutely not honey.,forbidden ask),4.8,276,2026-04-16-a,no,no
1008,simple,WO-SPARE-TUESDAY,0850001000086,A Spare Tuesday,1,1,visible,"An extra Tuesday, slotted in as needed. Not compatible with Wednesday.","Each Spare Tuesday is a genuine 24-hour day, wedged into the week via methods we do not understand and have been asked not to describe. Useful for deadlines, naps, or avoiding specific Thursdays.",,,taxable,,1,2,5,no,0,0.0,1,1,1,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,199.0,Shop > Impossibilities,"temporal, intangible, limited-edition",standard,"woo-assets://product-wo-spare-tuesday.jpg, woo-assets://product-wo-pocket-thunder.jpg, woo-assets://product-wo-fog-in-bottle.jpg",,,,,"WO-BORROWED-NOSTALGIA, WO-LOST-RECIPE-TIME",WO-MEMORY-FOAM-MEMORY,,,7,Brand,Temporal Surplus Ltd.,1,1,,Duration,24h ±,1,0,,Day Type,Tuesday,1,0,,,,,,A Spare Tuesday | Wonders & Oddities General Store,"A Spare Tuesday: An extra Tuesday, slotted in as needed. Not compatible with Wednesday.",a tuesday,5.0,4,2026-04-16-a,no,no
1009,simple,WO-POCKET-THUNDER,0850001000093,Pocket-Sized Thunder,1,0,visible,A miniature thunderclap in a velvet pouch. Volume: surprising.,"Hand-compressed from genuine storm systems. Squeeze to deploy. Cannot be returned once deployed. Do not use indoors, on airplanes, or near nervous dogs.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,8,3,no,0,0.1,8,5,3,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",28.0,35.0,"Shop > Curiosities, Shop > Impossibilities","weather, loud, handcrafted",standard,woo-assets://product-wo-pocket-thunder.jpg,,,,,WO-DISCOUNT-GRAVITY,WO-FOG-IN-BOTTLE,,,8,Brand,Tempest Goods,1,1,,Sound Level,85-102 dB,1,0,,Deployments,1 (single-use),1,0,,,,,,Pocket-Sized Thunder | Wonders & Oddities General Store,Pocket-Sized Thunder: A miniature thunderclap in a velvet pouch. Volume: surprising.,pocket-sized thunder,4.3,58,2026-04-16-a,no,no
1010,simple,WO-FOG-IN-BOTTLE,0850001000109,Fog in a Bottle (Coastal),1,0,visible,"Genuine coastal fog, bottled at source. Uncork for atmospheric effect.",Harvested from a specific bay in Maine on specific mornings. Produces approximately 2 cubic meters of fog per bottle. Decorative. Do not inhale.,,,taxable,,1,41,8,no,0,0.3,7,7,18,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,22.0,"Shop > Curiosities, Shop > Moods & Feelings","atmospheric, maine, handcrafted",standard,woo-assets://product-wo-fog-in-bottle.jpg,,,,,WO-POCKET-THUNDER,WO-HAUNTED-CANDLE,,,9,Brand,Bay Fog Co.,1,1,,Coverage,~2m³,1,0,,Source,"Penobscot Bay, approx.",1,0,,,,,,Fog in a Bottle (Coastal) | Wonders & Oddities General Store,"Fog in a Bottle (Coastal): Genuine coastal fog, bottled at source. Uncork for atmospheric effect.",fog (coastal),4.4,26,2026-04-16-a,no,no
